Ingredient,Price,Quantity,Unit Price,Unit,Url
Irresistibles Basil Bunch-Herb,2.99,per pack,14.24,100g,https://www.instacart.ca/store/metro/products/27268734
Club House Organic Dill Weed,2.99,per pack,24.92,100g,https://www.instacart.ca/store/metro/products/19029905
Irresistibles Herb Sage Bunch,2.99,per pack,14.24,100g,https://www.instacart.ca/store/metro/products/27245531
Irresistibles Tarragon,2.99,per pack,14.24,100g,https://www.instacart.ca/store/metro/products/27267045
Club House Organic Ground Coriander Powder,2.99,per pack,10.68,100g,https://www.instacart.ca/store/metro/products/17886621
Jamieson Curcumin Tumeric,14.49,per pack,0.24,per unit,https://www.instacart.ca/store/metro/products/17816467
Selection Lentil Legume,1.99,per pack,0.37,100ml,https://www.instacart.ca/store/metro/products/27268627
Tipiak Easy cooking-bag Quinoa,6.49,per pack,2.7,100g,https://www.instacart.ca/store/metro/products/27341276
Cedar's Sm Pearled Barley,3.39,per pack,0.37,100g,https://www.instacart.ca/store/metro/products/16632366
Selection Penne Cello Pasta,2.99,per pack,null,null,https://www.instacart.ca/store/metro/products/27268130
Primo Fusilli,2.0,per pack,0.22,100g,https://www.instacart.ca/store/metro/products/21371860
Primo Farfalle Pasta,2.0,per pack,0.29,100g,https://www.instacart.ca/store/metro/products/27046785
Selection Spaghetti Cello Pasta,2.99,per pack,0.33,100g,https://www.instacart.ca/store/metro/products/27268022
Irresistibles Amber Maple Syrup,5.88,per pack,1.09,100ml,https://www.instacart.ca/store/metro/products/27352583
Monsieur Gustav Mild Gouda Cheese,7.49,per pack,4.41,100g,https://www.instacart.ca/store/metro/products/25565980
Selection Swiss Cheese Block,6.49,per pack,1.62,100g,https://www.instacart.ca/store/metro/products/27266535
Soignon Soft Unripened Goat Cheese,6.49,per pack,5.19,100g,https://www.instacart.ca/store/metro/products/26967764
Irresistibles Walnut Halves & Pieces,6.99,per pack,null,null,https://www.instacart.ca/store/metro/products/27267860
Irresistibles Natural Pecan Halves,10.99,per pack,5.5,100g,https://www.instacart.ca/store/metro/products/27264974
Life Smart Organic Gluten Free Whole Black & Organic Gluten Free Chia Seed,5.0,per pack,1.67,100g,https://www.instacart.ca/store/metro/products/28656933
Selection Ground Flax Seed,5.0,per pack,1.25,100g,https://www.instacart.ca/store/metro/products/27380833
Selection Sweetened Dried Cranberry,5.79,per pack,1.54,100g,https://www.instacart.ca/store/metro/products/27304139
Selection Pitted Dried Date,2.99,per pack,0.6,100g,https://www.instacart.ca/store/metro/products/28428783
Irresistibles Sliced Cold Smoked Atlantic Salmon,5.0,per pack,7.14,100g,https://www.instacart.ca/store/metro/products/27874926
New Zealand Lean Ground Lamb,14.99,per pack,3.3,100g,https://www.instacart.ca/store/metro/products/28447864
Adonis Spices White Pita Bread,3.69,per pack,0.92,100g,https://www.instacart.ca/store/metro/products/27343837
"Earth's Own Organic Almond Beverage, Unsweetened Original",3.99,per pack,0.23,100ml,https://www.instacart.ca/store/metro/products/17886049
Thai Kitchen Coconut Milk,4.19,per pack,1.05,100ml,https://www.instacart.ca/store/metro/products/17090448
Green Bell Pepper,1.73,per pack,7.69,kg,https://www.instacart.ca/store/metro/products/3256531
Zucchini Squash,1.32,per pack,6.59,kg,https://www.instacart.ca/store/metro/products/3253241
Selection Asparagus Tips Vegetable in Can,4.49,per pack,1.32,100ml,https://www.instacart.ca/store/metro/products/27266415
Yellow (Ataulfo) Mango,2.99,per pack,null,null,https://www.instacart.ca/store/metro/products/16345661
Selection Pineapple Chunks,2.29,per pack,0.42,100ml,https://www.instacart.ca/store/metro/products/27268486
Green Kiwi,1.5,per pack,null,null,https://www.instacart.ca/store/metro/products/16345969
Irresistibles Basil Pesto,4.99,per pack,1.85,100ml,https://www.instacart.ca/store/metro/products/27266934
Fontaine Sante Traditional Hummus,5.29,per pack,2.03,100g,https://www.instacart.ca/store/metro/products/19067076
Selection Sliced Carrots in Can,1.67,per pack,0.42,100ml,https://www.instacart.ca/store/metro/products/27266818
Celery,3.49,per pack,null,null,https://www.instacart.ca/store/metro/products/2717598
Leek,7.99,per pack,null,null,https://www.instacart.ca/store/metro/products/3254392
Irresistibles Artichoke Hearts Vegetable Can,4.49,per pack,1.13,100ml,https://www.instacart.ca/store/metro/products/27268082
Selection Frozen Vegetable Brussels Sprouts,4.49,per pack,0.9,100g,https://www.instacart.ca/store/metro/products/27268544
Selection Cauliflower Florets Frozen Vegetable,4.49,per pack,0.9,100g,https://www.instacart.ca/store/metro/products/27266320
Zucchini Squash,1.32,per pack,6.59,kg,https://www.instacart.ca/store/metro/products/3253241
Fresh Attitude Baby Kale Blend,3.99,per pack,2.81,100g,https://www.instacart.ca/store/metro/products/242215
Radishes,2.99,per pack,0.19,oz,https://www.instacart.ca/store/metro/products/43373
Green Cabbage,2.84,kg,null,null,https://www.instacart.ca/store/metro/products/27268942
Bush's Best Original Baked Beans,2.99,per pack,0.75,100ml,https://www.instacart.ca/store/metro/products/17000862
Cucumber,1.69,per pack,null,null,https://www.instacart.ca/store/metro/products/3253345
Honeycrisp Apple,1.32,each,6.59,kg,https://www.instacart.ca/store/metro/products/16614400
Organic Bartlett Pear,1.27,each,7.25,kg,https://www.instacart.ca/store/metro/products/16617042
Selection Baby Dill Pickles,3.49,per pack,0.35,100ml,https://www.instacart.ca/store/metro/products/28428032
CADBURY Milk Chocolate Chocolate Bar,6.29,per pack,3.14,100g,https://www.instacart.ca/store/metro/products/17878729
Selection Sour Mixed Deluxe Gummy Candy,4.99,per pack,1.25,100g,https://www.instacart.ca/store/metro/products/27345858
Irresistibles Frozen Gusto Italiano Margherita Thin Crust Pizza,5.49,per pack,1.41,100g,https://www.instacart.ca/store/metro/products/27266522
Banana,0.39,each,1.96,kg,https://www.instacart.ca/store/metro/products/2748189
